1.2.1	0.127	1.445
1.2.2	0.127	1.435
1.2.3	0.127	1.424
1.2.4	0.127	1.414
1.2.5	0.127	1.404
1.2.6	0.127	1.394
1.2.7	0.127	1.383
1.2.8	0.127	1.373
1.2.9	0.127	1.363
1.2.10	0.127	1.353
1.2.11	0.127	1.342
1.2.12	0.127	1.332
1.2.13	0.127	1.322
1.2.14	0.127	1.311
1.2.15	0.127	1.301
1.2.16	0.127	1.291
1.2.17	0.127	1.281
1.2.18	0.127	1.271
1.2.19	0.127	1.260
1.2.20	0.127	1.250
1.2.21	0.127	1.240
1.2.22	0.127	1.230
1.2.23	0.127	1.219
1.2.24	0.127	1.209
1.2.25	0.127	1.199
1.2.26	0.127	1.188
1.2.27	0.127	1.178
1.2.28	0.127	1.168
1.2.29	0.127	1.158
1.2.30	0.127	1.147
1.2.31	0.127	1.137
1.2.32	0.127	1.127
1.2.33	0.127	1.117
1.2.34	0.127	1.107
1.2.35	0.127	1.096
1.2.36	0.128	1.086
1.2.37	0.128	1.076
1.2.38	0.128	1.066
1.2.39	0.128	1.055
1.2.40	0.128	1.045
1.2.41	0.128	1.035
1.2.42	0.128	1.025
1.2.43	0.128	1.014
1.2.44	0.128	1.004
1.2.45	0.128	0.994
1.2.46	0.128	0.984
1.2.47	0.128	0.973
1.2.48	0.128	0.963
1.2.49	0.128	0.953
1.2.50	0.128	0.943
1.2.51	0.128	0.933
1.2.52	0.128	0.923
1.2.53	0.128	0.913
1.2.54	0.128	0.902
1.2.55	0.128	0.892
1.2.56	0.128	0.882
1.2.57	0.128	0.872
1.2.58	0.128	0.862
1.2.59	0.128	0.852
1.2.60	0.128	0.841
1.2.61	0.128	0.831
1.2.62	0.128	0.821
1.2.63	0.128	0.811
1.2.64	0.128	0.801
1.2.65	0.128	0.791
1.2.66	0.128	0.781
1.2.67	0.128	0.771
1.2.68	0.128	0.761
1.2.69	0.128	0.751
1.2.70	0.128	0.740
1.2.71	0.128	0.730
1.2.72	0.128	0.720
1.2.73	0.128	0.710
1.2.74	0.128	0.700
1.2.75	0.128	0.690
1.2.76	0.128	0.680
1.2.77	0.128	0.670
1.2.78	0.128	0.659
1.2.79	0.128	0.649
1.2.80	0.128	0.639
1.2.81	0.128	0.629
1.2.82	0.127	0.619
1.2.83	0.127	0.609
1.2.84	0.127	0.599
1.2.85	0.127	0.589
1.2.86	0.127	0.579
1.2.87	0.127	0.569
1.2.88	0.127	0.559
1.2.89	0.127	0.549
1.2.90	0.127	0.538
1.2.91	0.127	0.528
1.2.92	0.127	0.518
1.2.93	0.127	0.508
1.2.94	0.127	0.498
1.2.95	0.127	0.488
1.2.96	0.127	0.478
1.2.97	0.127	0.468
1.2.98	0.127	0.458
1.2.99	0.127	0.448
1.2.100	0.127	0.438
1.2.101	0.127	0.428
1.2.102	0.127	0.418
1.2.103	0.127	0.408
1.2.104	0.127	0.398
1.2.105	0.127	0.388
1.2.106	0.126	0.378
1.2.107	0.126	0.368
1.2.108	0.126	0.358
1.2.109	0.127	0.348
1.2.110	0.129	0.338
1.2.111	0.131	0.328
1.2.112	0.133	0.318
1.2.113	0.136	0.308
1.2.114	0.139	0.297
1.2.115	0.142	0.287
1.2.116	0.146	0.277
1.2.117	0.151	0.267
1.2.118	0.156	0.257
1.2.119	0.162	0.247
1.2.120	0.169	0.237
1.2.121	0.176	0.227
1.2.122	0.184	0.217
1.2.123	0.194	0.207
1.2.124	0.204	0.198
1.2.125	0.214	0.189
1.2.126	0.224	0.182
1.2.127	0.234	0.175
1.2.128	0.244	0.169
1.2.129	0.254	0.164
1.2.130	0.264	0.159
